Target distance: 50, step size: 2
91: (x, y) = x = -3.44302 y = -7.96074

92: (x, y) = x = -5.42811 y = -7.717

93: (x, y) = x = -4.48917 y = -9.4829

94: (x, y) = x = -2.48917 y = -9.4829

95: (x, y) = x = -3.95188 y = -8.1189

96: (x, y) = x = -2.33384 y = -9.29447

97: (x, y) = x = -0.338714 y = -9.15496

98: (x, y) = x = -0.0949752 y = -11.1401

99: (x, y) = x = 1.89407 y = -10.931

100: (x, y) = x = 2.30989 y = -12.8873

101: (x, y) = x = 0.871212 y = -11.498

102: (x, y) = x = -0.68308 y = -12.7566

103: (x, y) = x = -2.14579 y = -14.1206

104: (x, y) = x = -4.06831 y = -14.6719

105: (x, y) = x = -5.57773 y = -15.984

106: (x, y) = x = -7.55827 y = -16.2623

107: (x, y) = x = -6.22 y = -17.7486

108: (x, y) = x = -4.56193 y = -16.6303

109: (x, y) = x = -3.74846 y = -18.4573

110: (x, y) = x = -3.71355 y = -16.4576

111: (x, y) = x = -3.29773 y = -14.5014

112: (x, y) = x = -2.54851 y = -16.3557

113: (x, y) = x = -4.28057 y = -17.3557

114: (x, y) = x = -3.66253 y = -15.4536

115: (x, y) = x = -5.50354 y = -16.2351

116: (x, y) = x = -3.70595 y = -17.1118

117: (x, y) = x = -5.21537 y = -18.4239

118: (x, y) = x = -5.38968 y = -20.4163

119: (x, y) = x = -4.13104 y = -21.9706

120: (x, y) = x = -4.37478 y = -19.9855

121: (x, y) = x = -6.33108 y = -20.4013

122: (x, y) = x = -8.15817 y = -21.2148

123: (x, y) = x = -9.73419 y = -19.9835

124: (x, y) = x = -11.0198 y = -18.4514

125: (x, y) = x = -10.5359 y = -16.5108

126: (x, y) = x = -10.2231 y = -18.4862

127: (x, y) = x = -8.56498 y = -19.6046

128: (x, y) = x = -7.22672 y = -21.0909

129: (x, y) = x = -6.4775 y = -19.2365

130: (x, y) = x = -4.69549 y = -20.1445

131: (x, y) = x = -5.28023 y = -18.2319

132: (x, y) = x = -4.79639 y = -16.2913

133: (x, y) = x = -3.91965 y = -14.4937

134: (x, y) = x = -2.1876 y = -15.4937

135: (x, y) = x = -2.1178 y = -17.4925

136: (x, y) = x = -1.60016 y = -19.4243

137: (x, y) = x = -3.46732 y = -18.7076

138: (x, y) = x = -3.67638 y = -16.7185

139: (x, y) = x = -5.63963 y = -17.1002

140: (x, y) = x = -4.00133 y = -18.2473

141: (x, y) = x = -5.99037 y = -18.4564

142: (x, y) = x = -6.02528 y = -20.4561

143: (x, y) = x = -6.47518 y = -22.4048

144: (x, y) = x = -6.54498 y = -24.4036

145: (x, y) = x = -4.65394 y = -25.0547

146: (x, y) = x = -5.03556 y = -23.0915

147: (x, y) = x = -5.88079 y = -21.2789

148: (x, y) = x = -5.32952 y = -19.3563

149: (x, y) = x = -3.34048 y = -19.1473

150: (x, y) = x = -2.46373 y = -17.3497

151: (x, y) = x = -1.00103 y = -15.9857

152: (x, y) = x = -0.316985 y = -14.1063

153: (x, y) = x = -1.84907 y = -12.8207

154: (x, y) = x = -3.84146 y = -12.995

155: (x, y) = x = -5.72085 y = -13.6791

156: (x, y) = x = -5.68594 y = -11.6794

157: (x, y) = x = -3.85885 y = -12.4929

158: (x, y) = x = -5.80759 y = -12.043

159: (x, y) = x = -4.29817 y = -10.7308

160: (x, y) = x = -2.85949 y = -9.34152

161: (x, y) = x = -0.903199 y = -8.9257

162: (x, y) = x = -2.5993 y = -7.86586

163: (x, y) = x = -0.614203 y = -8.1096

164: (x, y) = x = 0.61712 y = -9.68562

165: (x, y) = x = -0.352499 y = -7.93638

166: (x, y) = x = -0.526811 y = -9.92877

167: (x, y) = x = -1.04445 y = -7.99692

168: (x, y) = x = -0.766103 y = -9.97745

169: (x, y) = x = -1.94167 y = -11.5955

170: (x, y) = x = -1.03369 y = -13.3775

171: (x, y) = x = -1.94167 y = -15.1595

172: (x, y) = x = -1.19246 y = -17.0139

173: (x, y) = x = -2.99005 y = -17.8906

174: (x, y) = x = -1.03375 y = -17.4748

175: (x, y) = x = -2.91314 y = -18.1588

176: (x, y) = x = -1.91314 y = -16.4268

177: (x, y) = x = -2.6946 y = -14.5858

178: (x, y) = x = -4.67969 y = -14.8295

179: (x, y) = x = -2.69065 y = -14.6205

180: (x, y) = x = -0.710113 y = -14.8988

181: (x, y) = x = -1.8285 y = -13.2407

182: (x, y) = x = -0.542923 y = -11.7086

183: (x, y) = x = 0.39602 y = -9.94275

184: (x, y) = x = -1.04266 y = -8.55343

185: (x, y) = x = -1.6274 y = -6.64082

186: (x, y) = x = -1.87114 y = -8.62592

187: (x, y) = x = -3.28536 y = -10.0401

188: (x, y) = x = -3.0763 y = -8.05109

189: (x, y) = x = -2.01646 y = -9.74718

190: (x, y) = x = -3.52588 y = -8.43506

191: (x, y) = x = -1.52588 y = -8.43506

192: (x, y) = x = -3.51492 y = -8.64412

193: (x, y) = x = -2.93018 y = -10.5567

194: (x, y) = x = -0.945087 y = -10.8005

195: (x, y) = x = 1.04396 y = -10.5914

196: (x, y) = x = 2.43327 y = -9.15273

197: (x, y) = x = 1.12116 y = -7.64331

198: (x, y) = x = 0.404419 y = -5.77615

199: (x, y) = x = -1.5181 y = -6.32743

200: (x, y) = x = 0.474285 y = -6.15312

201: (x, y) = x = 1.81255 y = -4.66683

202: (x, y) = x = 3.12466 y = -6.17625

203: (x, y) = x = 4.03265 y = -7.95826

204: (x, y) = x = 2.82902 y = -6.36099

205: (x, y) = x = 4.44705 y = -7.53656

206: (x, y) = x = 6.42243 y = -7.22369

207: (x, y) = x = 4.43733 y = -7.46743

208: (x, y) = x = 5.69597 y = -9.02172

209: (x, y) = x = 6.41271 y = -7.15456

210: (x, y) = x = 7.25795 y = -5.34194

211: (x, y) = x = 8.28802 y = -7.05628

212: (x, y) = x = 6.33928 y = -7.50618

213: (x, y) = x = 5.49405 y = -5.69356

214: (x, y) = x = 4.37566 y = -7.35164

215: (x, y) = x = 2.5085 y = -8.06838

216: (x, y) = x = 1.04579 y = -9.43237

217: (x, y) = x = 3.00905 y = -9.05075

218: (x, y) = x = 3.79051 y = -7.20974

219: (x, y) = x = 1.79081 y = -7.17484

220: (x, y) = x = 3.15481 y = -8.63755

221: (x, y) = x = 1.35722 y = -9.51429

222: (x, y) = x = -0.642473 y = -9.47938

223: (x, y) = x = 1.32078 y = -9.09777

224: (x, y) = x = 3.31317 y = -8.92345

225: (x, y) = x = 1.32808 y = -8.67972

226: (x, y) = x = 3.24069 y = -8.09497

227: (x, y) = x = 3.72453 y = -10.0356

228: (x, y) = x = 4.84292 y = -11.6936

229: (x, y) = x = 6.84292 y = -11.6936

230: (x, y) = x = 5.84292 y = -9.96159

231: (x, y) = x = 3.84322 y = -9.99649

232: (x, y) = x = 5.15534 y = -8.48707

233: (x, y) = x = 6.27373 y = -10.1451

234: (x, y) = x = 5.33478 y = -8.37925

235: (x, y) = x = 6.67304 y = -6.89296

236: (x, y) = x = 5.14096 y = -5.60739

237: (x, y) = x = 7.14065 y = -5.64229

238: (x, y) = x = 6.55591 y = -3.72968

239: (x, y) = x = 8.1102 y = -4.98833

240: (x, y) = x = 8.85941 y = -3.13396

241: (x, y) = x = 6.87888 y = -2.85561

242: (x, y) = x = 6.63514 y = -4.8407

243: (x, y) = x = 5.27114 y = -3.378

244: (x, y) = x = 5.88917 y = -5.28011

245: (x, y) = x = 4.37976 y = -3.96799

246: (x, y) = x = 6.19237 y = -4.81323

247: (x, y) = x = 8.03338 y = -4.03177

248: (x, y) = x = 9.88775 y = -3.28255

249: (x, y) = x = 10.0273 y = -5.27768

250: (x, y) = x = 10.5785 y = -3.35516

251: (x, y) = x = 8.79652 y = -4.26314

252: (x, y) = x = 10.7771 y = -4.54148

253: (x, y) = x = 10.1923 y = -6.45409

254: (x, y) = x = 8.61629 y = -7.68542

255: (x, y) = x = 10.6136 y = -7.79009

256: (x, y) = x = 11.5525 y = -9.55598

257: (x, y) = x = 10.9678 y = -7.64337

258: (x, y) = x = 11.3494 y = -9.60663

259: (x, y) = x = 10.4104 y = -11.3725

260: (x, y) = x = 9.82568 y = -9.45991

261: (x, y) = x = 9.9652 y = -11.455

262: (x, y) = x = 10.8104 y = -13.2677

263: (x, y) = x = 12.5763 y = -12.3287

264: (x, y) = x = 12.5763 y = -10.3287

265: (x, y) = x = 13.78 y = -8.73144

266: (x, y) = x = 14.2638 y = -6.79085

267: (x, y) = x = 12.9782 y = -8.32294

268: (x, y) = x = 13.4959 y = -10.2548

269: (x, y) = x = 14.643 y = -8.61649

270: (x, y) = x = 12.6798 y = -8.99811

271: (x, y) = x = 11.2656 y = -10.4123

272: (x, y) = x = 9.92729 y = -11.8986

273: (x, y) = x = 11.5854 y = -13.017

274: (x, y) = x = 13.5851 y = -13.0519

275: (x, y) = x = 15.351 y = -12.113

276: (x, y) = x = 17.192 y = -12.8944

277: (x, y) = x = 15.3944 y = -13.7712

278: (x, y) = x = 15.8443 y = -15.7199

279: (x, y) = x = 17.844 y = -15.7548

280: (x, y) = x = 19.8245 y = -16.0332

281: (x, y) = x = 21.8218 y = -16.1378

282: (x, y) = x = 20.0242 y = -17.0146

283: (x, y) = x = 21.9467 y = -17.5658

284: (x, y) = x = 21.2627 y = -19.4452

285: (x, y) = x = 22.1394 y = -21.2428

286: (x, y) = x = 24.0304 y = -21.894

287: (x, y) = x = 22.0551 y = -22.2068

288: (x, y) = x = 22.2294 y = -24.1992

289: (x, y) = x = 20.8152 y = -22.785

290: (x, y) = x = 21.9044 y = -24.4623

291: (x, y) = x = 23.7455 y = -23.6809

292: (x, y) = x = 25.0576 y = -22.1715

293: (x, y) = x = 24.0275 y = -23.8858

294: (x, y) = x = 24.4774 y = -25.8345

295: (x, y) = x = 26.4407 y = -25.4529

296: (x, y) = x = 24.5181 y = -24.9016

297: (x, y) = x = 23.2868 y = -26.4777

298: (x, y) = x = 22.3172 y = -28.2269

299: (x, y) = x = 22.3521 y = -26.2272

300: (x, y) = x = 22.9368 y = -28.1398

301: (x, y) = x = 24.0552 y = -29.7979

302: (x, y) = x = 22.0701 y = -30.0416

303: (x, y) = x = 20.2575 y = -29.1964

304: (x, y) = x = 18.6602 y = -27.9928

305: (x, y) = x = 16.6712 y = -28.2018

306: (x, y) = x = 14.6739 y = -28.3065

307: (x, y) = x = 13.6739 y = -26.5744

308: (x, y) = x = 13.4649 y = -28.5635

309: (x, y) = x = 15.3192 y = -29.3127

310: (x, y) = x = 17.2998 y = -29.591

311: (x, y) = x = 16.8159 y = -31.5316

312: (x, y) = x = 18.6286 y = -32.3769

313: (x, y) = x = 19.3126 y = -30.4975

314: (x, y) = x = 18.3126 y = -32.2295

315: (x, y) = x = 16.9233 y = -33.6682

316: (x, y) = x = 18.9084 y = -33.4245

317: (x, y) = x = 18.8037 y = -31.4272

318: (x, y) = x = 19.3884 y = -33.3398

319: (x, y) = x = 17.5909 y = -32.4631

320: (x, y) = x = 16.2526 y = -33.9494

321: (x, y) = x = 14.967 y = -35.4815

322: (x, y) = x = 12.9698 y = -35.3768

323: (x, y) = x = 11.2554 y = -34.3467

324: (x, y) = x = 10.6043 y = -32.4557

325: (x, y) = x = 12.3863 y = -33.3637

326: (x, y) = x = 10.5069 y = -32.6796

327: (x, y) = x = 8.84884 y = -31.5612

328: (x, y) = x = 7.03623 y = -32.4065

329: (x, y) = x = 7.1409 y = -34.4037

330: (x, y) = x = 5.99375 y = -36.042

331: (x, y) = x = 7.98887 y = -35.9025

332: (x, y) = x = 7.98887 y = -33.9025

333: (x, y) = x = 8.80235 y = -35.7296

334: (x, y) = x = 6.92296 y = -35.0456

335: (x, y) = x = 5.71933 y = -36.6428

336: (x, y) = x = 7.69987 y = -36.9212

337: (x, y) = x = 6.06156 y = -38.0683

338: (x, y) = x = 4.64735 y = -39.4826

339: (x, y) = x = 4.16351 y = -41.4231

340: (x, y) = x = 2.22292 y = -41.907

341: (x, y) = x = 2.25782 y = -39.9073

342: (x, y) = x = 4.08491 y = -39.0938

343: (x, y) = x = 5.59433 y = -37.7817

344: (x, y) = x = 3.71494 y = -37.0977

345: (x, y) = x = 2.27627 y = -35.7083

346: (x, y) = x = 2.17159 y = -37.7056

347: (x, y) = x = 3.72589 y = -36.447

348: (x, y) = x = 3.31006 y = -34.4907

349: (x, y) = x = 1.36947 y = -34.9745

350: (x, y) = x = -0.57927 y = -35.4244

351: (x, y) = x = 1.15278 y = -36.4244

352: (x, y) = x = 2.06076 y = -38.2064

353: (x, y) = x = 1.15278 y = -39.9884

354: (x, y) = x = 3.13332 y = -40.2668

355: (x, y) = x = 3.41166 y = -42.2473

356: (x, y) = x = 1.79363 y = -43.4229

357: (x, y) = x = 3.62072 y = -42.6094

358: (x, y) = x = 4.49746 y = -40.8118

359: (x, y) = x = 5.27893 y = -42.6528

360: (x, y) = x = 3.30931 y = -42.3055

361: (x, y) = x = 1.32877 y = -42.0272

362: (x, y) = x = 2.23675 y = -43.8092

363: (x, y) = x = 1.88946 y = -45.7788

364: (x, y) = x = 1.33818 y = -43.8563

365: (x, y) = x = 3.05252 y = -44.8864

366: (x, y) = x = 5.04491 y = -44.7121

367: (x, y) = x = 4.73204 y = -42.7367

368: (x, y) = x = 5.82132 y = -41.0594

369: (x, y) = x = 5.40549 y = -39.1031

370: (x, y) = x = 4.0415 y = -40.5658

371: (x, y) = x = 2.95222 y = -38.8884

372: (x, y) = x = 0.995923 y = -39.3042

373: (x, y) = x = 0.377889 y = -41.2064

374: (x, y) = x = -1.54463 y = -40.6551

375: (x, y) = x = 0.435902 y = -40.9334

376: (x, y) = x = 0.0886055 y = -42.903

377: (x, y) = x = 1.20699 y = -44.5611

378: (x, y) = x = 0.963253 y = -46.5462

379: (x, y) = x = 2.96203 y = -46.4764

380: (x, y) = x = 4.93165 y = -46.1291

381: (x, y) = x = 4.72259 y = -44.1401

382: (x, y) = x = 2.90998 y = -44.9853

383: (x, y) = x = 4.11361 y = -46.5826

384: (x, y) = x = 2.39927 y = -47.6127

385: (x, y) = x = 0.486663 y = -48.1974

386: (x, y) = x = 0.208317 y = -46.2169

387: (x, y) = x = 1.17794 y = -47.9661

388: (x, y) = x = 1.07326 y = -45.9688

389: (x, y) = x = -0.828849 y = -45.3508

390: (x, y) = x = -2.06017 y = -46.9268

391: (x, y) = x = -3.47439 y = -45.5126

392: (x, y) = x = -5.27197 y = -46.3894

393: (x, y) = x = -3.78568 y = -45.0511

394: (x, y) = x = -2.14738 y = -43.9039

395: (x, y) = x = -0.783383 y = -45.3667

396: (x, y) = x = -1.69136 y = -47.1487

397: (x, y) = x = -1.62156 y = -49.1474

After 398 steps, the sujects has following location.
x = -1.13772 y = -51.088
mag = 51.1007 ang = -1.59306
Average outward distance per step = 0.128394
